,Year,Type,Country,Area,Location,Activity,Sex ,Injury,Time,Fatal,NotFatal,Species,Season
3392,1970,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Wading,M,"FATAL, body not recovered",Afternoon,1,0,unknown,sum
3375,1970,Unprovoked,MOZAMBIQUE,Inhambe Province,"Inhambe Bay Estuary, 10 to 12 miles inland from the sea",Fishing for prawns,M,"FATAL, decapitated and arm severed",Afternoon,1,0,unknown,win
3405,1970,Unprovoked,MEXICO,Guerrero,Acapulco,Swimming,M,Leg bitten,Afternoon,0,1,zambesi,win
3376,1970,Unprovoked,MICRONESIA,Namonuito Atoll,Pisarach (Pisaras),Fishing,M,Laceration to thigh,Morning,0,1,tiger,win
3383,1970,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Floating on a raft,M,Laceration to left foot,Afternoon,0,1,mako,aut
3377,1970,Unprovoked,USA,Hawaii,Kauai,Shipwreck,M,Right thigh lacerated,unknown,0,1,white,win
3384,1970,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",unknown,M,PROVOKED INCIDENT,Afternoon,0,1,unknown,aut
3407,1970,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,unknown,Freediving,M,Lacerations to back,Morning,0,1,tiger,win
3404,1970,Unprovoked,EGYPT,Red Sea,A few miles south of Port Suez,Air disaster,M,FATAL,Morning,1,0,white,win
3444,1969,Provoked,BAHAMAS,Eleuthera,unknown,Sight-seeing,unknown,"No injury to occupants, shark grabbed prop, Leodorn hit shark with oar, shark bit oar in half PROVOKED INCIDENT",unknown,0,1,white,win
3440,1969,Provoked,AUSTRALIA,Tasmania,Taroona,Fishing,M,Lacerations to hand from hooked shark PROVOKED INCIDENT,Afternoon,0,1,white,aut
3431,1969,Unprovoked,USA,Florida,Sarasota County,Wading,M,No injury,Morning,0,1,unknown,sum
3443,1969,Unprovoked,AUSTRALIA,Victoria,Port MacDonnel,unknown,M,Minor injury ,Afternoon,0,1,unknown,win
3425,1969,Unprovoked,unknown,unknown,unknown,unknown,M,Am lacerated,Afternoon,0,1,unknown,sum
3416,1969,Unprovoked,AUSTRALIA,Western Australia,"Swan River, 13 miles upstream",Swimming,M,Left thigh lacerated,unknown,0,1,unknown,aut
3421,1969,Unprovoked,USA,Florida,"North Beach, St. Lucie County",Floating on his back,M,Laceration to right leg,Afternoon,0,1,zambesi,sum
3429,1969,Unprovoked,USA,Florida,Florida Keys,Wading,M,No details,unknown,unknown,unknown,unknown,sum
3426,1969,Provoked,ENGLAND,unknown,unknown,unknown,M,Arm lacerated. Recorded as PROVOKED INCIDENT,unknown,0,1,unknown,sum
3442,1969,Unprovoked,AUSTRALIA,New South Wales,Beecroft Head,Freediving,M,Abrasions and lacerations to lower right leg,unknown,0,1,unknown,win
3432,1969,Provoked,USA,Texas,Packery Channel,Surf-fishing,M,Foot lacerated when he stepped on the shark  PROVOKED INCIDENT,unknown,0,1,unknown,spr
3438,1969,Provoked,AUSTRALIA,New South Wales,Newcastle,unknown,M,Foot lacerated. Recorded as PROVOKED INCIDENT,Afternoon,0,1,nurse,spr
3433,1969,Provoked,USA,Florida,Sarasota County,Diving,M,Laceration to buttocks Recorded as PROVOKED INCIDENT,Morning,0,1,silky,spr
3434,1969,Unprovoked,DOMINICAN REPUBLIC,unknown,unknown,Surfing,M,unknown,unknown,unknown,unknown,unknown,spr
3427,1969,Provoked,USA,Florida,Florida Keys,unknown,M,Scrape on head. Recorded as PROVOKED INCIDENT,Afternoon,0,1,unknown,sum
3422,1969,Provoked,USA,Massachusetts,40 miles south of Nantucket,Fishing,M,Leg bitten by netted shark PROVOKED INCIDENT,Afternoon,0,1,galapagos,sum
3428,1969,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Freediving for abalone (at surface),M,"Foot bitten, minor injury",unknown,0,1,white,sum
3437,1969,Provoked,USA,Florida,"Marathon, Monroe County",Fishing,M,Laceration to foot from dead shark PROVOKED INCIDENT,Afternoon,0,1,unknown,sum
3419,1969,Unprovoked,USA,Hawaii,Hawaii,Diving,M,No injury,unknown,0,1,wobbegong,aut
3435,1969,Unprovoked,AUSTRALIA,Queensland,Broomfield Reef,unknown,unknown,Survived,Afternoon,0,1,unknown,spr
3430,1969,Unprovoked,JAMAICA,Clarendon,Off Rocky Point,Diving,M,Multiple lacerations,Afternoon,0,1,nurse,sum
