,Year,Type,Country,Area,Location,Activity,Sex ,Injury,Time,Fatal,NotFatal,Species,Season
3190,1976,Boating,SOUTH AFRICA,Western Cape Province,"2 km from Macassar, False Bay",unknown,unknown,"Shark leapt into boat, hitting Fanie Schoeman on his back before sliding into the sea",Morning,0,1,unknown,spr
3196,1976,Unprovoked,NEW ZEALAND,North Island,"Te Kaha, East coast",Spearfishing,M,FATAL,Afternoon,1,0,whaler,win
3184,1976,Boating,AUSTRALIA,Queensland,Off Stradbroke Island,Sitting in bow of her father's 5 m boat,F,"Shark jumped in boat, hitting her in the face & knocking her unconscious",unknown,0,1,bull,sum
3208,1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,Paddleskiing,M,Right foot & ankle lacerated,unknown,0,1,nurse,aut
3239,1975,Boating,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,unknown,unknown,Shark bit rudder & hull,unknown,0,1,unknown,aut
3225,1975,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,"No injury, board bumped",unknown,0,1,unknown,aut
3237,1975,Unprovoked,BANGLADESH,Ganges-Brahmaputra delta,unknown,Ferry capsized,unknown,"FATAL, of 190 passengers & crew thrown into the water, 50 people were said to have been killed by sharks",Afternoon,1,0,unknown,spr
3226,1975,Provoked,USA,Florida," New Smyrna Beach, Volusia County",unknown,M,Slightly injured when he stepped on a shark PROVOKED INCIDENT,unknown,0,1,unknown,sum
3220,1975,Provoked,AUSTRALIA,Western Australia,"15 km north of Lancelin, north of Perth",Spearfishing,M,Speared shark bit his arm  between elbow and shoulder PROVOKED INCIDENT,Morning,0,1,unknown,sum
3213,1975,Unprovoked,USA,Oregon,unknown,Sea disaster,F,"FATAL, arms & legs bitten",Afternoon,1,0,unknown,sum
3214,1975,Unprovoked,AUSTRALIA,Tasmania,"Fluted Cape, Bruny Island",Scuba diving for abalone,M,FATAL,unknown,1,0,unknown,sum
3198,1975,Boating,AUSTRALIA,South Australia,Glenelg,Attempting to drive shark away from the beach,unknown,"No injury, shark charged & rammed boat several times",unknown,0,1,unknown,win
3215,1975,Unprovoked,USA,Florida,"Off Hutchinson Island, St Lucie County",Free diving,M,Forearms lacerated,unknown,0,1,sandtiger,sum
3216,1975,Unprovoked,AUSTRALIA,Queensland,Maroochydore,Surfing,M,Buttocks & leg bitten,unknown,0,1,unknown,sum
3227,1975,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Right foot bitten,Afternoon,0,1,nurse,spr
3222,1975,Unprovoked,USA,South Carolina,"Windy Hill, near Myrtle Beach, Horry County",Swimming ,M,Lacerations to right foot,unknown,0,1,unknown,sum
3223,1975,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Standing,F,Hand & wrist bitten,Morning,0,1,unknown,sum
3217,1975,Unprovoked,USA,California,"Perch Rock, Point Conception, Santa Barbara County",Scuba diving for abalone (at surface),M,Legs bitten,Afternoon,0,1,unknown,sum
3238,1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Surfing,M,Foot severed,Afternoon,0,1,unknown,win
3228,1975,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Bathing,F,Leg bitten,Morning,0,1,whaler,spr
3245,1975,Unprovoked,BERMUDA,unknown,unknown,Spearfishing,M,Laceration to right ankle,unknown,0,1,nurse,unk
3246,1975,Unprovoked,REUNION,unknown,unknown,unknown,M,FATAL,unknown,1,0,lemon,unk
3201,1975,Unprovoked,AUSTRALIA,New South Wales,"Queenscliff, Sydney",Standing,M,Laceration to posterior thigh,unknown,0,1,unknown,aut
3202,1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Standing,M,Left foot lacerated,unknown,0,1,unknown,aut
3218,1975,Unprovoked,USA,California,"Point Conception, Santa Barbara County",Hookah diving for abalone,M,"No injury, swim fin torn",Afternoon,0,1,white,sum
3244,1975,Unprovoked,AUSTRALIA,South Australia,Coffin Bay,Surfing,M,"FATAL, body not recovered",unknown,1,0,unknown,win
3233,1975,Unprovoked,AUSTRALIA,Queensland,Mornington Island,unknown,F,Hand bitten,Afternoon,0,1,unknown,spr
3209,1975,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,M,Left leg & surfboard bitten,Afternoon,0,1,unknown,sum
3234,1975,Unprovoked,USA,Florida,"Clearwater Beach, Pinellas County",Floating in inner tube,M,Left leg & foot bitten,Afternoon,0,1,nurse,spr
3224,1975,Unprovoked,USA,Alabama,5 miles off the coast,Swimming near his boat,M,Left leg bitten,Afternoon,0,1,unknown,sum
3219,1975,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,Arm lacerated,Morning,0,1,white,sum
3235,1975,Provoked,AUSTRALIA,Queensland,Southport Aquarium,Diving & force-feeding the shark,unknown,Laceration to thigh by captive shark PROVOKED INCIDENT,unknown,0,1,unknown,spr
3206,1975,Unprovoked,AUSTRALIA,New South Wales,"Lennox Head, Ballina",Surfing,M,"Cracked jaw & broken tooth, shark took chunk out of surfboard",unknown,0,1,unknown,aut
3210,1975,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Floating on a small orange raft ,M,"Calf bitten, leg surgically amputated below the knee  Note: by late August, 3 more bathers had been bitten by sharks at Daytona Beach",Afternoon,0,1,unknown,sum
3240,1975,Unprovoked,AUSTRALIA,South Australia,(Point Sinclair) Penong,Swimming underwater from crayfish cage to a fishing bait,M,Right leg  severed FATAL,unknown,1,0,unknown,win
3236,1975,Provoked,SOUTH AFRICA,Western Cape Province,"Boggomsbaai, Mossel Bay",Attempting to drag hooked shark ashore by its tail,M,Left leg bitten  PROVOKED INCIDENT,unknown,0,1,sand,spr
3241,1975,Unprovoked,AUSTRALIA,Victoria,Anglesea,Crayfishing,M,Puncture wounds to right shoulder,unknown,0,1,unknown,win
3211,1975,Unprovoked,USA,California,"Usal Creek, Bear Harbor, Mendocino County",Free diving for abalone,M,"Shoulder, arm & hand lacerated",unknown,0,1,white,sum
3203,1975,Unprovoked,AUSTRALIA,Queensland,Lookout Point,unknown,M,Puncture wounds in hand,unknown,0,1,white,aut
3242,1975,Unprovoked,AUSTRALIA,Queensland,Currumbin Rock,unknown,M,Survived,unknown,0,1,unknown,win
3199,1975,Unprovoked,USA,California,Farallon Islands,Scuba diving & spearfishing,M,Leg bitten,unknown,0,1,hammerhead,win
3231,1975,Unprovoked,SOUTH AFRICA,Western Cape Province,Millers Point,Spearfishing Competition,M,"No injury, rammed by shark",Afternoon,0,1,white,spr
3221,1975,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,M,"Foot bitten, tendons damaged",Afternoon,0,1,blacktip,sum
3212,1975,Unprovoked,HONG KONG,Mirs Bay ,unknown,Freedom swimming,M,"Leg bitten, surgically amputated",Afternoon,0,1,blue,sum
3204,1975,Unprovoked,USA,Florida,"Crescent Beach, St. Johns County",Surfing,M,Foot bitten,Afternoon,0,1,sandbar,aut
3200,1975,Provoked,AUSTRALIA,New South Wales,"Porpoise Pool, Tweed Heads",Filming & feeding captive sharks,M,Tooth mark in left elbow PROVOKED INCIDENT,unknown,0,1,unknown,win
3243,1975,Provoked,SOUTH AFRICA,Western Cape Province,"Beespens, False Bay",Fishing,M,Foot bitten by shark he was gaffing  PROVOKED INCIDENT,Afternoon,0,1,blacktip,win
3283,1974,Unprovoked,AUSTRALIA,Western Australia,Emu Channel,Spearfishing,M,8 to 10 puncture marks around knee,Morning,0,1,zambesi,sum
3255,1974,Unprovoked,USA,Oregon,Myers Creek,Surfing,M,No injury,Afternoon,0,1,unknown,aut
3267,1974,Unprovoked,BRAZIL,unknown,unknown,Fishing boat swamped in a storm,M,FATAL,unknown,1,0,unknown,aut
3273,1974,Boating,SOUTH AFRICA,Western Cape Province,Macassar,Fishing for kob,unknown,"No injury to occupant, shark holed boat",unknown,0,1,white,spr
3276,1974,Boating,SOUTH AFRICA,Western Cape Province,Macassar,Fishing for red fish,unknown,"No injury to occupant, but  a shark chasing a hooked fish holed his boat above the waterline",unknown,0,1,unknown,win
3277,1974,Boating,SOUTH AFRICA,Western Cape Province,Macassar,Fishing for kob,unknown,"No injury,  shark leapt into boat & bit one of the boat's seats",unknown,0,1,unknown,unk
3249,1974,Unprovoked,USA,California,"North of Point Sur, Monterey County",Surfing,M,"Thigh, lower back and surfboard bitten",Afternoon,0,1,copper,aut
3266,1974,Unprovoked,USA,California,"Tomales Point, Marin County",Free diving (but on surface),M,Leg bitten,unknown,0,1,white,spr
3262,1974,Unprovoked,USA,California,"Albion Cove, Albion, Mendocino County",Free diving for abalone (submerged),M,Minor bite on heel & swim fin bitten,Morning,0,1,white,sum
3256,1974,Unprovoked,HONG KONG,Mirs Bay ,unknown,Freedom Swimming,M,Survived,Afternoon,0,1,unknown,sum
3272,1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,M,"No injury, surfboard bitten",unknown,0,1,unknown,spr
3265,1974,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,Lacerations to hip and leg,unknown,0,1,white,sum
3263,1974,Unprovoked,USA,Georgia,"Back River, Savannah Beach, Chatham County",Swimming,M,FATAL,unknown,1,0,unknown,sum
3268,1974,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,M,Left knee lacerated,Morning,0,1,unknown,spr
3284,1974,Unprovoked,CROATIA,Primorje-Gorski Kotar County ,Preluka Harbour,unknown,unknown,FATAL,Afternoon,1,0,mako,unk
3257,1974,Unprovoked,HONG KONG,Mirs Bay ,unknown,Freedom swimming,M,FATAL,unknown,1,0,unknown,sum
3258,1974,Unprovoked,HONG KONG,Mirs Bay ,unknown,Freedom swimming,M,Arm broken & severely lacerated,unknown,0,1,unknown,sum
3259,1974,Unprovoked,HONG KONG,Mirs Bay ,unknown,Freedom swimming,M,Left foot bitten,unknown,0,1,unknown,sum
3250,1974,Unprovoked,USA,California,"North Farallon Island, Farallon Islands",Hookah diving for abalone,M,Major injuries,unknown,0,1,unknown,aut
3269,1974,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Glengariff,Standing,M,Lower right leg lacerated,Afternoon,0,1,unknown,spr
3278,1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,Sitting,M,2 minor lacerations in foot,unknown,0,1,unknown,win
3274,1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Swimming,M,"Right calf removed, leg surgically amputated below the knee",unknown,0,1,wobbegong,win
3275,1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Swimming,M,Right shin lacerated,unknown,0,1,unknown,win
3247,1974,Unprovoked,AUSTRALIA,Western Australia,Geographe Bay,unknown,unknown,Survived,unknown,0,1,unknown,win
3270,1974,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,F,Foot bitten,Afternoon,0,1,unknown,spr
3260,1974,Unprovoked,CROATIA, Split-Dalmatia County," Lokva Rogoznica, Omis",unknown,M,Foot severed FATAL,unknown,1,0,unknown,sum
3279,1974,Unprovoked,AUSTRALIA,South Australia,Streaky Bay,Diving for abalone,M,"FATAL, right leg severed  ",Afternoon,1,0,unknown,win
3251,1974,Unprovoked,ISRAEL,Red Sea,"North Beach, Eilat",Swimming,F,"Bitten 12 times: multiple lacerations on hands, arms, shoulder breast thigh, both legs, left forearm surgically amputated ",Afternoon,0,1,whaler,aut
3280,1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Swimming,M,Knee & calf lacerated,Afternoon,0,1,unknown,win
3281,1974,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,FATAL,unknown,1,0,small,win
3261,1974,Unprovoked,USA,California,"San Gregorio Beach, San Mateo County",Surfing,M,Minor injuries to hand,Afternoon,0,1,for,sum
3271,1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Surfing,M,Right foot lacerated,unknown,0,1,unknown,spr
3252,1974,Unprovoked,USA,California,"Franklin Point, San Mateo County",Scuba diving (but on surface),M,Minor injuries to hand,Afternoon,0,1,white,aut
3253,1974,Unprovoked,USA,California,"Franklin Point, San Mateo County",Scuba diving (but on surface),M,Minor bite on foot & swimfin,unknown,0,1,nurse,aut
3264,1974,Unprovoked,USA,Florida ,Gulf of Mexico,Adrift after the sinking of the motor yacht Princess Dianne,M,Arm bitten FATAL,Afternoon,1,0,unknown,sum
3254,1974,Unprovoked,AUSTRALIA,Queensland,"Junpinpin, off Stradbroke Island",3.3 m fishing boat sank. Treveluwe & Peter Hodgson (wearing lifejackets) were drifting in the current,M,"Missing, believed taken by a shark",unknown,0,1,nurse,aut
3248,1974,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,Laceration to foot,Morning,0,1,unknown,aut
3297,1973,Unprovoked,EGYPT,Red Sea,Southern end of the Sinai Peninsula,unknown,M,Massive wound on right thigh with femur exposed,unknown,0,1,small,aut
3287,1973,Unprovoked,PHILIPPINES,Luzon,unknown,Swimming,M,FATAL,Afternoon,1,0,unknown,aut
3295,1973,Unprovoked,HONG KONG,Mirs Bay ,unknown,Freedom Swimming,M,FATAL,unknown,1,0,unknown,aut
3305,1973,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Spearfishing,M,Hip bruised,Afternoon,0,1,unknown,spr
3289,1973,Unprovoked,MEXICO,Guerrero,Acapulco Bay,Swimming alongside yacht Mexico Fiesta,M,FATAL,Afternoon,1,0,hammerhead,win
3293,1973,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mission Rocks,Being pulled to shore from wreck of 25-ton fishing vessel Alan S,M,"FATAL, thigh bitten ",unknown,1,0,unknown,aut
3306,1973,Unprovoked,MEXICO,Guerrero,"Revolcadero Beach, Acapulco",Swimming,unknown,"FATAL, multiple bites ",Afternoon,1,0,bull,win
3298,1973,Unprovoked,AUSTRALIA,Queensland,Palm Cove Beach,unknown,unknown,unknown,unknown,unknown,unknown,mako,sum
3303,1973,Unprovoked,AUSTRALIA,Queensland,Palm Island,unknown,M,Survived,unknown,0,1,nurse,spr
3290,1973,Unprovoked,AUSTRALIA,Western Australia,Swan River,unknown,unknown,Survived,Afternoon,0,1,small,aut
3285,1973,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Spearfishing,M,"Right leg severed at knee, abrasion on left ankle",unknown,0,1,carpet,win
3299,1973,Unprovoked,AUSTRALIA,Queensland,"Point Lookout, Stradbroke Island",Surfing,M,Right foot severed,unknown,0,1,unknown,sum
3291,1973,Unprovoked,USA,Florida,"Ormond By The Sea, Volusia County",Surfing,M,Foot bitten,Afternoon,0,1,unknown,aut
3307,1973,Provoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Fishing from paddleski,M,Hooked & gaffed shark bit his right elbow PROVOKED INCIDENT,unknown,0,1,unknown,win
3286,1973,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Swimming ,M,FATAL,Afternoon,1,0,unknown,win
3309,1973,Unprovoked,PALAU,Aulong Island,Aulong Channel,Scuba diving (submerged),M,"No injury, shark grabbed scuba tank and descended to 110' before releasing him ",Afternoon,0,1,unknown,unk
3310,1973,Unprovoked,PALAU,Western Caroline Islands,unknown,Scuba diving & U/W photography,M,Hand & right shoulder lacerated,Afternoon,0,1,unknown,unk
3311,1973,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,M,"No injury, surboard flung into air & dented",Afternoon,0,1,white,unk
3288,1973,Unprovoked,USA,Hawaii,"Kalama Beach, Kihei, Maui",Swimming,M,Leg bitten,Afternoon,0,1,unknown,win
3300,1973,Unprovoked,USA,Virginia,False Cape,Crabbing (spearing crabs),M,Elbow bitten,unknown,0,1,unknown,sum
3294,1973,Unprovoked,BAHAMAS,Grand Bahama Island,"Memory Rock, 18 miles from NW end of the Island","Free diving, Spearfishing",M,Left hand & forearm lacerated,unknown,0,1,unknown,aut
3301,1973,Unprovoked,HONG KONG,unknown,unknown,Freedom Swimming,M,"One man was killed by a shark, the other was injured",unknown,0,1,unknown,sum
3296,1973,Unprovoked,MEXICO,Baja California,Guadalupe Island,"Free diving, Spearfishing",M,"FATAL, leg bitten ",unknown,1,0,unknown,aut
3308,1973,Unprovoked,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",Surfing,M,Leg bitten,unknown,0,1,carpet,win
3304,1973,Unprovoked,MOZAMBIQUE,Gaza,"Chongeone, Xai Xai",Spearfishing,M,FATAL,unknown,1,0,lemon,spr
3302,1973,Unprovoked,MEXICO,Guerrero,"Revolcadero Beach, Acapulco",Wading,M,"FATAL, multiple bites ",Morning,1,0,unknown,spr
3292,1973,Unprovoked,AUSTRALIA,Queensland,Gin Arm Creek,unknown,M,Knee lacerated,unknown,0,1,unknown,aut
3330,1972,Unprovoked,AUSTRALIA,Queensland,Pancake Creek,unknown,M,FATAL,unknown,1,0,unknown,aut
3323,1972,Unprovoked,NEW ZEALAND,North Island,Wanganui,Swimming,M,"No injury, leg of jeans torn off",Afternoon,0,1,unknown,aut
3312,1972,Unprovoked,SOUTH AFRICA,Western Cape Province,Millers Point,Treading water,M,Lower left leg & foot bitten,unknown,0,1,small,win
3326,1972,Unprovoked,USA,Florida,"Crescent Beach, St. Johns County",Surfing,M,Left calf bitten,unknown,0,1,unknown,sum
3333,1972,Unprovoked,USA,California,"Bird Rock, near Tomales Point, Marin County",Free diving for abalone,M,Bitten on legs & buttock,Afternoon,0,1,tiger,spr
3313,1972,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,"Hip, leg, arm, hand & shoulder bitten",unknown,0,1,unknown,win
3314,1972,Unprovoked,MEXICO,Guerrero,"Revolcadero Beach, Acapulco",Body surfing,M,"FATAL, hand severed, right leg and torso bitten ",unknown,1,0,unknown,win
3315,1972,Unprovoked,SOUTH AFRICA,Western Cape Province,Hartenbos,Swimming,M,"No injury, swim fin bitten",Afternoon,0,1,unknown,win
3319,1972,Unprovoked,AUSTRALIA,Queensland,"Stevens Reef, 70 miles from Mackay",Spearfishing,M,Right arm bitten,unknown,0,1,unknown,aut
3320,1972,Unprovoked,AUSTRALIA,New South Wales,Tabourie Beach,Surfing,M,Lacerations to thigh & buttocks,unknown,0,1,unknown,aut
3338,1972,Provoked,PACIFIC OCEAN ,unknown,unknown,Fishing,M,Arm bitten by hooked shark PROVOKED INCIDENT,unknown,0,1,unknown,spr
3316,1972,Unprovoked,AUSTRALIA,Queensland,Currumbin Rock,unknown,M,Hand bitten,unknown,0,1,unknown,win
3340,1972,Unprovoked,AUSTRALIA,Victoria,"Wilson's Promontory, Waratah Bay",Surfing,M,Laceration above knee,unknown,0,1,unknown,win
3345,1972,Unprovoked,FRANCE,Antibes,unknown,Swimming,unknown,Shoulder injured,unknown,0,1,unknown,unk
3346,1972,Unprovoked,MARSHALL ISLANDS,Illeginni Atoll,unknown,"Free diving, collecting shells",M,Right hand & torso lacerated,unknown,0,1,lemon,unk
3327,1972,Unprovoked,USA,Hawaii,"Waimanu, Honoka'a, Hawai'i",Spearfishing,M,Forearm bitten,Morning,0,1,unknown,sum
3339,1972,Unprovoked,USA,Hawaii,"Waihe'e, Wailuku, Maui",Spearfishing,M,Leg bitten,unknown,0,1,unknown,spr
3335,1972,Unprovoked,WESTERN SAMOA,Upolu Island,Nuulua,Swimming,M,FATAL,Afternoon,1,0,nurse,spr
3321,1972,Unprovoked,USA,US Virgin Islands,"St. Croix, Cane Bay",Scuba diving,M,"FATAL, body not recovered",Afternoon,1,0,unknown,aut
3322,1972,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,Afternoon,0,1,mako,aut
3341,1972,Unprovoked,AUSTRALIA,Tasmania,Elliot's Cove,unknown,unknown,Survived,unknown,0,1,unknown,win
3332,1972,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,Buttocks bitten,Afternoon,0,1,unknown,sum
3324,1972,Unprovoked,USA,California,"Point Sur, Monterey County",Surfing,M,Legs & board bitten,Afternoon,0,1,unknown,aut
3317,1972,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",unknown,unknown,PROVOKED INCIDENT,unknown,0,1,unknown,win
3328,1972,Unprovoked,AUSTRALIA,Tasmania,Tasman Island,Diving for abalone,M,Left foot bitten,Morning,0,1,white,sum
